Google,GOOGL
Microsoft,MSFT
Facebook,META
NVidia,NVDA
Tesla,TSLA
Apple,AAPL
Amazon,AMZN
Netflix,NFLX
PayPal,PYPL
Adobe,ADBE
Intel,INTC
Cisco,CSCO
Qualcomm,QCOM
AMD,AMD
Oracle,ORCL
Salesforce,CRM
Twitter,TWTR
Uber,UBER
Lyft,LYFT
Snapchat,SNAP
Square,SQ
Spotify,SPOT
Ebay,EBAY
Peloton,PTON
Exxon Mobil,XOM
Visa,V
Walmart,WMT
JP Morgan,JPM
Johnson and Johnson,JNJ
Procter and Gamble,PG
Chevron,CVX
Costco,COST
Coca-Cola,KO
Pepsico,PEP
Home Depot,HD
Walt Disney,DIS
Verizon,VZ
AT&T,T
Boeing,BA
Wells Fargo,WFC
Citigroup,C
Bank of America,BAC
Morgan Stanley,MS
